,b,p,m,f,d,t,n,l,g,k,h,j,q,x,zh,ch,sh,r,z,c,s,None
ic,,,,,,,,,,,,,,,,,,,zi,ci,si,
ih,,,,,,,,,,,,,,,zhi,chi,shi,ri,,,,
a,ba,pa,ma,fa,da,ta,na,la,ga,ka,ha,,,,zha,cha,sha,,za,ca,sa,a
o,bo,po,mo,fo,,,,,,,,,,,,,,,,,,o
e,,,me,,de,te,ne,le,ge,ke,he,,,,zhe,che,she,re,ze,ce,se,e
ee,,,,,,,,,,,,,,,,,,,,,,ee
er,,,,,,,,,,,,,,,,,,,,,,er
ai,bai,pai,mai,,dai,tai,nai,lai,gai,kai,hai,,,,zhai,chai,shai,,zai,cai,sai,ai
ei,bei,pei,mei,fei,dei,,nei,lei,gei,,hei,,,,zhei,,shei,,zei,,,ei
ao,bao,pao,mao,,dao,tao,nao,lao,gao,kao,hao,,,,zhao,chao,shao,rao,zao,cao,sao,ao
ou,,pou,mou,fou,dou,tou,nou,lou,gou,kou,hou,,,,zhou,chou,shou,rou,zou,cou,sou,ou
an,ban,pan,man,fan,dan,tan,nan,lan,gan,kan,han,,,,zhan,chan,shan,ran,zan,can,san,an
en,ben,pen,men,fen,,,nen,,gen,ken,hen,,,,zhen,chen,shen,ren,zen,cen,sen,en
ng,,,,,,,,,,,,,,,,,,,,,,ng
ang,bang,pang,mang,fang,dang,tang,nang,lang,gang,kang,hang,,,,zhang,chang,shang,rang,zang,cang,sang,ang
eng,beng,peng,meng,feng,deng,teng,neng,leng,geng,keng,heng,,,,zheng,cheng,sheng,reng,zeng,ceng,seng,eng
ong,,,,,dong,tong,nong,long,gong,kong,hong,,,,zhong,chong,,rong,zong,cong,song,
i,bi,pi,mi,,di,ti,ni,li,,,,ji,qi,xi,,,,,,,,yi
ia,,,,,dia,,,lia,,,,jia,qia,xia,,,,,,,,ya
io,,,,,,,,,,,,,,,,,,,,,,yo
ie,bie,pie,mie,,die,tie,nie,lie,,,,jie,qie,xie,,,,,,,,ye
iao,biao,piao,miao,,diao,tiao,niao,liao,,,,jiao,qiao,xiao,,,,,,,,yao
iou,,,miu,,diu,,niu,liu,,,,jiu,qiu,xiu,,,,,,,,you
ian,bian,pian,mian,,dian,tian,nian,lian,,,,jian,qian,xian,,,,,,,,yan
in,bin,pin,min,,,,nin,lin,,,,jin,qin,xin,,,,,,,,yin
iang,,,,,,,niang,liang,,,,jiang,qiang,xiang,,,,,,,,yang
ing,bing,ping,ming,,ding,ting,ning,ling,,,,jing,qing,xing,,,,,,,,ying
iong,,,,,,,,,,,,jiong,qiong,xiong,,,,,,,,yong
u,bu,pu,mu,fu,du,tu,nu,lu,gu,ku,hu,,,,zhu,chu,shu,ru,zu,cu,su,wu
ua,,,,,,,,,gua,kua,hua,,,,zhua,,shua,,,,,wa
uo,,,,,duo,tuo,nuo,luo,guo,kuo,huo,,,,zhuo,chuo,shuo,ruo,zuo,cuo,suo,wo
uai,,,,,,,,,guai,kuai,huai,,,,zhuai,chuai,shuai,,,,,wai
uei,,,,,dui,tui,,,gui,kui,hui,,,,zhui,chui,shui,rui,zui,cui,sui,wei
uan,,,,,duan,tuan,nuan,luan,guan,kuan,huan,,,,zhuan,chuan,shuan,ruan,zuan,cuan,suan,wan
uen,,,,,dun,tun,,lun,gun,kun,hun,,,,zhun,chun,shun,run,zun,cun,sun,wen
uang,,,,,,,,,guang,kuang,huang,,,,zhuang,chuang,shuang,,,,,wang
ueng,,,,,,,,,,,,,,,,,,,,,,weng
v,,,,,,,nv,lv,,,,ju,qu,xu,,,,,,,,yu
ve,,,,,,,nve,lve,,,,jue,que,xue,,,,,,,,yue
van,,,,,,,,,,,,juan,quan,xuan,,,,,,,,yuan
vn,,,,,,,,,,,,jun,qun,xun,,,,,,,,yun